trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T
15,1057,1.0,1.00,1,10,0.9991,360.00,4,1.0,3,0.2
16,1058,1.0,1.00,1,10,0.9992,360.00,4,1.0,3,0.2
17,1059,1.0,1.00,1,11,0.9991,396.00,4,1.0,3,0.2
18,1060,1.0,1.00,1,10,0.9991,360.00,4,1.0,3,0.2
19,1061,1.0,1.00,1,11,0.9990,396.00,4,1.0,3,0.2
0,1142,1.1,0.91,1,12,0.9991,432.00,4,1.0,3,0.2
1,1143,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
2,1144,1.1,0.91,1,18,0.9994,648.00,4,1.0,3,0.2
3,1145,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
4,1146,1.1,0.91,1,10,0.9991,360.00,4,1.0,3,0.2
5,1147,1.1,0.91,1,11,0.9993,396.00,4,1.0,3,0.2
6,1148,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
7,1149,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
8,1150,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
9,1151,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
10,1152,1.1,0.91,1,10,0.9992,360.00,4,1.0,3,0.2
11,1153,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
12,1154,1.1,0.91,1,12,0.9991,432.00,4,1.0,3,0.2
13,1155,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
14,1156,1.1,0.91,1,14,0.9994,504.00,4,1.0,3,0.2
15,1157,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
16,1158,1.1,0.91,1,9,0.9972,324.00,4,1.0,3,0.2
17,1159,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
18,1160,1.1,0.91,1,11,0.9992,396.00,4,1.0,3,0.2
19,1161,1.1,0.91,1,11,0.9991,396.00,4,1.0,3,0.2
0,1242,1.2,0.83,1,12,0.9990,432.00,4,1.0,3,0.2
1,1243,1.2,0.83,1,11,0.9993,396.00,4,1.0,3,0.2
2,1244,1.2,0.83,1,12,0.9993,432.00,4,1.0,3,0.2
3,1245,1.2,0.83,1,10,0.9992,360.00,4,1.0,3,0.2
4,1246,1.2,0.83,1,11,0.9991,396.00,4,1.0,3,0.2
5,1247,1.2,0.83,1,12,0.9994,432.00,4,1.0,3,0.2
6,1248,1.2,0.83,1,10,0.9992,360.00,4,1.0,3,0.2
7,1249,1.2,0.83,1,11,0.9991,396.00,4,1.0,3,0.2
8,1250,1.2,0.83,1,10,0.9991,360.00,4,1.0,3,0.2
9,1251,1.2,0.83,1,10,0.9992,360.00,4,1.0,3,0.2
10,1252,1.2,0.83,1,11,0.9991,396.00,4,1.0,3,0.2
11,1253,1.2,0.83,1,11,0.9991,396.00,4,1.0,3,0.2
12,1254,1.2,0.83,1,12,0.9995,432.00,4,1.0,3,0.2
13,1255,1.2,0.83,1,10,0.9990,360.00,4,1.0,3,0.2
14,1256,1.2,0.83,1,15,0.9993,540.00,4,1.0,3,0.2
15,1257,1.2,0.83,1,14,0.9994,504.00,4,1.0,3,0.2
16,1258,1.2,0.83,1,12,0.9992,432.00,4,1.0,3,0.2
17,1259,1.2,0.83,1,12,0.9993,432.00,4,1.0,3,0.2
18,1260,1.2,0.83,1,11,0.9991,396.00,4,1.0,3,0.2
19,1261,1.2,0.83,1,13,0.9994,468.00,4,1.0,3,0.2
0,1342,1.3,0.77,1,24,0.9995,864.00,4,1.0,3,0.2
1,1343,1.3,0.77,1,11,0.9991,396.00,4,1.0,3,0.2
2,1344,1.3,0.77,1,12,0.9991,432.00,4,1.0,3,0.2
3,1345,1.3,0.77,1,12,0.9995,432.00,4,1.0,3,0.2
4,1346,1.3,0.77,1,13,0.9989,468.00,4,1.0,3,0.2
5,1347,1.3,0.77,1,10,0.9992,360.00,4,1.0,3,0.2
6,1348,1.3,0.77,1,17,0.9992,612.00,4,1.0,3,0.2
7,1349,1.3,0.77,1,12,0.9994,432.00,4,1.0,3,0.2
8,1350,1.3,0.77,1,11,0.9990,396.00,4,1.0,3,0.2
9,1351,1.3,0.77,1,18,0.9991,648.00,4,1.0,3,0.2
10,1352,1.3,0.77,1,11,0.9991,396.00,4,1.0,3,0.2
11,1353,1.3,0.77,1,13,0.9992,468.00,4,1.0,3,0.2
12,1354,1.3,0.77,1,10,0.9992,360.00,4,1.0,3,0.2
13,1355,1.3,0.77,1,12,0.9991,432.00,4,1.0,3,0.2
14,1356,1.3,0.77,1,11,0.9991,396.00,4,1.0,3,0.2
15,1357,1.3,0.77,1,17,0.9992,612.00,4,1.0,3,0.2
16,1358,1.3,0.77,1,12,0.9992,432.00,4,1.0,3,0.2
17,1359,1.3,0.77,1,11,0.9991,396.00,4,1.0,3,0.2
18,1360,1.3,0.77,1,11,0.9992,396.00,4,1.0,3,0.2
19,1361,1.3,0.77,1,11,0.9543,396.00,4,1.0,3,0.2
0,1442,1.4,0.71,1,12,0.9991,432.00,4,1.0,3,0.2
1,1443,1.4,0.71,1,12,0.9990,432.00,4,1.0,3,0.2
2,1444,1.4,0.71,1,11,0.9986,396.00,4,1.0,3,0.2
3,1445,1.4,0.71,1,11,0.9995,396.00,4,1.0,3,0.2
4,1446,1.4,0.71,1,11,0.9991,396.00,4,1.0,3,0.2
5,1447,1.4,0.71,1,13,0.9991,468.00,4,1.0,3,0.2
6,1448,1.4,0.71,1,12,0.9994,432.00,4,1.0,3,0.2
7,1449,1.4,0.71,1,12,0.9993,432.00,4,1.0,3,0.2
8,1450,1.4,0.71,1,12,0.9993,432.00,4,1.0,3,0.2
9,1451,1.4,0.71,1,11,0.9992,396.00,4,1.0,3,0.2
10,1452,1.4,0.71,1,19,0.9994,684.00,4,1.0,3,0.2
11,1453,1.4,0.71,1,11,0.9991,396.00,4,1.0,3,0.2
12,1454,1.4,0.71,1,13,0.9992,468.00,4,1.0,3,0.2
13,1455,1.4,0.71,1,10,0.9991,360.00,4,1.0,3,0.2
14,1456,1.4,0.71,1,11,0.9995,396.00,4,1.0,3,0.2
15,1457,1.4,0.71,1,11,0.9991,396.00,4,1.0,3,0.2
16,1458,1.4,0.71,1,12,0.9992,432.00,4,1.0,3,0.2
17,1459,1.4,0.71,1,14,0.9994,504.00,4,1.0,3,0.2
18,1460,1.4,0.71,1,10,0.9992,360.00,4,1.0,3,0.2
19,1461,1.4,0.71,1,12,0.9994,432.00,4,1.0,3,0.2
0,1542,1.5,0.67,1,23,0.9995,828.00,4,1.0,3,0.2
1,1543,1.5,0.67,1,19,0.9991,684.00,4,1.0,3,0.2
2,1544,1.5,0.67,1,11,0.9991,396.00,4,1.0,3,0.2
3,1545,1.5,0.67,1,15,0.9994,540.00,4,1.0,3,0.2
4,1546,1.5,0.67,1,12,0.9993,432.00,4,1.0,3,0.2
5,1547,1.5,0.67,1,12,0.9991,432.00,4,1.0,3,0.2
6,1548,1.5,0.67,1,11,0.9988,396.00,4,1.0,3,0.2
7,1549,1.5,0.67,1,13,0.9993,468.00,4,1.0,3,0.2
8,1550,1.5,0.67,1,16,0.9992,576.00,4,1.0,3,0.2
9,1551,1.5,0.67,1,13,0.9992,468.00,4,1.0,3,0.2
