experiment,layout,grid,obstacle_density,sigma,weight_scale,H,direct_conn,success_rate,avg_rcp,avg_rcp_success,R,R_effective,T,active_cells,avg_conf_success,avg_final_conf,avg_sat_count_success,avg_steps,avg_steps_success,conditional_success,feasible_rate,final_confidence,max_steps,mean_best_acc,mean_best_mse,mean_detour_success,mean_path_success,mode,mode_variant,n_effective,rcp,snr,steps,success,trial,trial_seed,trials
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,19,61,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9993,50,,,,,wbit,wbit,1,396.00,999.00,11,1,20,62,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,21,63,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,22,64,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,23,65,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,24,66,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9994,50,,,,,wbit,wbit,1,396.00,999.00,11,1,25,67,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,26,68,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,27,69,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,28,70,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,29,71,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9993,50,,,,,wbit,wbit,1,396.00,999.00,11,1,30,72,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,31,73,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,32,74,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,33,75,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,34,76,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,35,77,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,36,78,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,37,79,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,38,80,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,39,81,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,40,82,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,41,83,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,42,84,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,43,85,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,44,86,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,45,87,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,46,88,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9994,50,,,,,wbit,wbit,1,396.00,999.00,11,1,47,89,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,48,90,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,49,91,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,50,92,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,51,93,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,52,94,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,53,95,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,54,96,
