trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
94,42,236,1236,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,da2c2425b22529a4,binary,binary_quantized,2,5,0
95,42,237,1237,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,457e0c24f8cfbe3f,binary,binary_quantized,2,5,0
96,42,238,1238,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,26b5e521593e525b,binary,binary_quantized,2,5,0
97,42,239,1239,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,d76c49c7bbdeb8b5,binary,binary_quantized,2,5,0
98,42,240,1240,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,3184bdb4a7c97800,binary,binary_quantized,2,5,0
99,42,241,1241,random,0.1,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,10,fe10f120278d45fc,binary,binary_quantized,2,5,0
0,42,242,1242,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,1d8de7c0bc7d83b6,binary,binary_quantized,2,5,0
1,42,243,1243,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,5d00562c8a4e4528,binary,binary_quantized,2,5,0
2,42,244,1244,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,dc1587184c968985,binary,binary_quantized,2,5,0
3,42,245,1245,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,85bd2433fedc0f0b,binary,binary_quantized,2,5,0
4,42,246,1246,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,402a434850040a1c,binary,binary_quantized,2,5,0
5,42,247,1247,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,042dd0860dbe3adc,binary,binary_quantized,2,5,0
6,42,248,1248,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,9e9f64eaa2d49c22,binary,binary_quantized,2,5,0
7,42,249,1249,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,03d07d5d3dda455f,binary,binary_quantized,2,5,0
8,42,250,1250,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,465717a2bd61a695,binary,binary_quantized,2,5,0
9,42,251,1251,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,06f8fb85e69d6285,binary,binary_quantized,2,5,0
10,42,252,1252,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,5dc4c7bc2570a122,binary,binary_quantized,2,5,0
11,42,253,1253,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,39637d331ece22ad,binary,binary_quantized,2,5,0
12,42,254,1254,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,48059fc23c406176,binary,binary_quantized,2,5,0
13,42,255,1255,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,8afe2373964bb9c2,binary,binary_quantized,2,5,0
14,42,256,1256,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,201118c81a02f301,binary,binary_quantized,2,5,0
15,42,257,1257,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,05ae26248b9a4459,binary,binary_quantized,2,5,0
16,42,258,1258,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,785167e2ca206f24,binary,binary_quantized,2,5,0
17,42,259,1259,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,43d36de7b34bebc5,binary,binary_quantized,2,5,0
18,42,260,1260,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,7fde64e11014b096,binary,binary_quantized,2,5,0
19,42,261,1261,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,1862eb1afc79fabb,binary,binary_quantized,2,5,0
20,42,262,1262,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,817cfc541dfd57b5,binary,binary_quantized,2,5,0
21,42,263,1263,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,a95c7a500f4936d2,binary,binary_quantized,2,5,0
22,42,264,1264,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,5b8578c1c68fbb67,binary,binary_quantized,2,5,0
23,42,265,1265,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,b3d2ea496acaf089,binary,binary_quantized,2,5,0
24,42,266,1266,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,cd223e5d4cdfb8d0,binary,binary_quantized,2,5,0
25,42,267,1267,random,0.2,0.1,10,5,0.2,1,1,1,0,18,1.0,8100.0,18,18,18,1.0,20,7be1dbd269659705,binary,binary_quantized,2,5,0
