trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
37,42,179,1179,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.4215953770315486,45000.0,18,100,0,0.0,10,06e568a972350957,adaptive,adaptive_heuristic_n1,1,3,3700
38,42,180,1180,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999971652,45000.0,18,100,0,0.0,10,078885c04916ae84,adaptive,adaptive_heuristic_n1,1,3,3750
39,42,181,1181,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999778617,45000.0,18,100,0,0.0,10,699e17eaf61dd27d,adaptive,adaptive_heuristic_n1,1,3,3850
40,42,182,1182,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999596163,45000.0,18,100,0,0.0,10,fe0d909278a07bd5,adaptive,adaptive_heuristic_n1,1,3,4000
41,42,183,1183,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999499534,45000.0,18,100,0,0.0,10,104f5e7e6388d830,adaptive,adaptive_heuristic_n1,1,3,4200
42,42,184,1184,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999711097,45000.0,18,100,0,0.0,10,a096642e355b856b,adaptive,adaptive_heuristic_n1,1,3,3800
43,42,185,1185,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999630639,45000.0,18,100,0,0.0,10,98534322ea623c84,adaptive,adaptive_heuristic_n1,1,3,3900
44,42,186,1186,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.3602017205311713,45000.0,18,100,0,0.0,10,e9e47d87a2e8b5e9,adaptive,adaptive_heuristic_n1,1,3,4050
45,42,187,1187,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999299911,45000.0,18,100,0,0.0,10,0a9a8a9f17a4fc13,adaptive,adaptive_heuristic_n1,1,3,3900
46,42,188,1188,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.3841677841626705,45000.0,18,100,0,0.0,10,6f47f1f69f40fb2b,adaptive,adaptive_heuristic_n1,1,3,4150
47,42,189,1189,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999536326,45000.0,18,100,0,0.0,10,88f7fb7819c991ab,adaptive,adaptive_heuristic_n1,1,3,4200
48,42,190,1190,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999736071,45000.0,18,100,0,0.0,10,bd55b2fce59d663e,adaptive,adaptive_heuristic_n1,1,3,4000
49,42,191,1191,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999732525,45000.0,18,100,0,0.0,10,ac078bd251c181f8,adaptive,adaptive_heuristic_n1,1,3,4200
50,42,192,1192,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999780285,45000.0,18,100,0,0.0,10,bda18d6e323b9441,adaptive,adaptive_heuristic_n1,1,3,3900
51,42,193,1193,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999534374,45000.0,18,100,0,0.0,10,1f5c68e3ea04eef3,adaptive,adaptive_heuristic_n1,1,3,3300
52,42,194,1194,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999835354,45000.0,18,100,0,0.0,10,c7ca0a00977db76f,adaptive,adaptive_heuristic_n1,1,3,4150
53,42,195,1195,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999731588,45000.0,18,100,0,0.0,10,eca1e28b5d32a171,adaptive,adaptive_heuristic_n1,1,3,3600
54,42,196,1196,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999586571,45000.0,18,100,0,0.0,10,9f8ea672a0653605,adaptive,adaptive_heuristic_n1,1,3,3750
55,42,197,1197,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999773617,45000.0,18,100,0,0.0,10,37718e4569cd5279,adaptive,adaptive_heuristic_n1,1,3,4000
56,42,198,1198,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999715738,45000.0,18,100,0,0.0,10,0f4109150d88e59f,adaptive,adaptive_heuristic_n1,1,3,3551
57,42,199,1199,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999785962,45000.0,18,100,0,0.0,10,1c77ef70f2b00327,adaptive,adaptive_heuristic_n1,1,3,3800
