weight_scale,sigma,trials,success_rate,avg_steps,avg_rcp,avg_final_conf,R,T,max_steps,mode_variant,n_effective,R_effective
0.05,1.1,50,0.00,50.0,1800.0,0.586,3,0.2,50,wbit,1,3
0.05,1.2,50,0.00,50.0,1800.0,0.588,3,0.2,50,wbit,1,3
0.05,1.3,50,0.00,50.0,1800.0,0.536,3,0.2,50,wbit,1,3
0.05,1.4,50,0.00,50.0,1800.0,0.543,3,0.2,50,wbit,1,3
0.05,1.5,50,0.00,50.0,1800.0,0.598,3,0.2,50,wbit,1,3
0.05,1.6,50,0.00,50.0,1800.0,0.598,3,0.2,50,wbit,1,3
0.05,1.7,50,0.00,50.0,1800.0,0.582,3,0.2,50,wbit,1,3
0.05,1.8,50,0.00,50.0,1800.0,0.562,3,0.2,50,wbit,1,3
0.05,1.9,50,0.00,50.0,1800.0,0.584,3,0.2,50,wbit,1,3
0.05,2.0,50,0.00,50.0,1800.0,0.560,3,0.2,50,wbit,1,3
